genetic,length,mass,exercise,smoking,alcohol,sugar,bmi,lifespan
84.0,180.0,90.0,2.0,9.0,1.0,2,27.78,86
84.0,204.0,79.0,3.0,2.0,7.0,3,18.98,100
84.0,174.0,74.0,3.0,20.0,3.0,2,24.44,87
84.0,187.0,78.0,2.0,6.0,5.0,3,22.31,91
84.0,187.0,89.0,2.0,12.0,0.0,2,25.45,83
84.0,175.0,74.0,2.0,2.0,3.0,3,24.16,89
84.0,196.0,68.0,2.0,14.0,8.0,1,17.7,80
84.0,182.0,83.0,1.0,1.0,8.0,3,25.06,77
84.0,176.0,91.0,1.0,17.0,1.0,2,29.38,73
84.0,180.0,74.0,1.0,5.0,9.0,2,22.84,73
84.0,191.0,73.0,1.0,18.0,7.0,4,20.01,67
84.0,204.0,74.0,2.0,15.0,10.0,2,17.78,81
84.0,168.0,75.0,2.0,12.0,3.0,3,26.57,78
84.0,198.0,63.0,3.0,21.0,5.0,2,16.07,90
84.0,199.0,78.0,1.0,14.0,7.0,3,19.7,66
84.0,194.0,78.0,1.0,0.0,1.0,2,20.72,84
84.0,182.0,89.0,3.0,6.0,8.0,1,26.87,92
84.0,159.0,74.0,2.0,9.0,7.0,3,29.27,73
84.0,176.0,101.0,1.0,12.0,10.0,2,32.61,67
84.0,171.0,82.0,1.0,21.0,9.0,4,28.04,55
84.0,188.0,79.0,2.0,18.0,7.0,3,22.35,76
84.0,185.0,87.0,2.0,13.0,3.0,1,25.42,85
84.0,161.0,66.0,1.0,7.0,9.0,3,25.46,73
84.0,169.0,72.0,1.0,11.0,8.0,2,25.21,72
84.0,184.0,80.0,1.0,21.0,9.0,2,23.63,60
84.0,195.0,61.0,0.0,5.0,8.0,2,16.04,75
84.0,187.0,75.0,2.0,1.0,9.0,2,21.45,95
84.0,208.0,95.0,1.0,17.0,1.0,2,21.96,76
84.0,184.0,85.0,3.0,21.0,6.0,1,25.11,85
84.0,178.0,77.0,3.0,17.0,9.0,3,24.3,81
84.0,183.0,101.0,2.0,21.0,9.0,2,30.16,70
84.0,186.0,74.0,2.0,2.0,4.0,2,21.39,97
84.0,173.0,83.0,1.0,8.0,8.0,2,27.73,71
84.0,180.0,87.0,1.0,22.0,6.0,2,26.85,64
84.0,198.0,74.0,2.0,15.0,5.0,3,18.88,78
84.0,183.0,68.0,2.0,18.0,0.0,2,20.31,90
84.0,196.0,69.0,1.0,13.0,7.0,2,17.96,76
84.0,181.0,96.0,1.0,12.0,8.0,2,29.3,70
84.0,194.0,65.0,3.0,19.0,9.0,3,17.27,85
84.0,184.0,74.0,1.0,14.0,9.0,3,21.86,63
84.0,167.0,89.0,2.0,18.0,7.0,3,31.91,72
84.0,183.0,81.0,1.0,17.0,7.0,2,24.19,74
84.0,170.0,89.0,3.0,2.0,4.0,2,30.8,101
84.0,186.0,99.0,2.0,9.0,7.0,1,28.62,88
84.0,190.0,85.0,1.0,19.0,7.0,1,23.55,69
84.0,178.0,79.0,2.0,20.0,9.0,3,24.93,70
84.0,190.0,64.0,2.0,17.0,4.0,1,17.73,84
84.0,179.0,80.0,2.0,4.0,3.0,2,24.97,90
84.0,197.0,67.0,1.0,5.0,7.0,5,17.26,78
84.0,186.0,111.0,2.0,0.0,1.0,2,32.08,92
84.0,169.0,101.0,2.0,8.0,8.0,2,35.36,73
84.0,179.0,90.0,1.0,7.0,7.0,3,28.09,66
84.0,170.0,106.0,2.0,1.0,5.0,1,36.68,88
84.0,181.0,62.0,1.0,4.0,8.0,4,18.92,74
84.0,213.0,73.0,1.0,6.0,4.0,4,16.09,83
84.0,185.0,88.0,2.0,8.0,1.0,1,25.71,92
84.0,164.0,81.0,2.0,2.0,4.0,2,30.12,92
84.0,164.0,72.0,2.0,20.0,7.0,2,26.77,71
84.0,201.0,69.0,3.0,5.0,3.0,2,17.08,107
84.0,164.0,90.0,3.0,0.0,8.0,3,33.46,92
84.0,190.0,110.0,2.0,0.0,7.0,1,30.47,95
84.0,203.0,99.0,1.0,4.0,9.0,1,24.02,80
83.0,164.0,90.0,1.0,0.0,8.0,2,33.46,79
83.0,174.0,83.0,3.0,3.0,6.0,2,27.41,98
83.0,188.0,98.0,1.0,0.0,4.0,3,27.73,81
83.0,179.0,74.0,2.0,1.0,9.0,3,23.1,86
83.0,200.0,62.0,1.0,18.0,5.0,2,15.5,75
83.0,183.0,75.0,1.0,20.0,6.0,2,22.4,70
83.0,177.0,81.0,2.0,7.0,3.0,2,25.85,91
83.0,170.0,68.0,1.0,0.0,6.0,3,23.53,81
83.0,206.0,67.0,1.0,2.0,7.0,1,15.79,88
83.0,200.0,92.0,2.0,5.0,9.0,1,23.0,88
83.0,167.0,105.0,2.0,0.0,4.0,1,37.65,84
83.0,175.0,77.0,2.0,21.0,6.0,2,25.14,79
83.0,189.0,85.0,1.0,6.0,6.0,3,23.8,71
83.0,173.0,72.0,1.0,10.0,6.0,3,24.06,70
83.0,179.0,98.0,1.0,15.0,4.0,2,30.59,70
83.0,178.0,71.0,2.0,0.0,8.0,2,22.41,92
83.0,177.0,94.0,2.0,17.0,2.0,1,30.0,78
83.0,176.0,69.0,3.0,7.0,8.0,3,22.28,89
83.0,210.0,73.0,2.0,3.0,8.0,1,16.55,97
83.0,196.0,62.0,2.0,2.0,5.0,3,16.14,88
83.0,186.0,75.0,3.0,0.0,1.0,2,21.68,107
83.0,174.0,74.0,1.0,6.0,4.0,4,24.44,70
83.0,188.0,78.0,2.0,1.0,4.0,3,22.07,94
83.0,183.0,89.0,2.0,0.0,9.0,3,26.58,84
83.0,173.0,81.0,2.0,8.0,9.0,2,27.06,76
83.0,183.0,83.0,1.0,20.0,8.0,3,24.78,66
83.0,177.0,64.0,1.0,13.0,6.0,2,20.43,71
83.0,184.0,69.0,1.0,6.0,7.0,3,20.38,80
83.0,178.0,74.0,1.0,12.0,2.0,3,23.36,68
83.0,181.0,69.0,0.0,0.0,9.0,3,21.06,71
83.0,205.0,65.0,3.0,20.0,9.0,3,15.47,82
83.0,164.0,71.0,2.0,4.0,8.0,3,26.4,77
83.0,184.0,90.0,4.0,4.0,3.0,2,26.58,105
83.0,188.0,64.0,1.0,1.0,2.0,1,18.11,93
83.0,212.0,81.0,1.0,0.0,5.0,1,18.02,88
83.0,192.0,91.0,2.0,1.0,6.0,2,24.69,86
83.0,179.0,61.0,2.0,0.0,9.0,3,19.04,89
83.0,206.0,66.0,1.0,0.0,0.0,3,15.55,89
83.0,183.0,61.0,4.0,0.0,5.0,1,18.21,113
83.0,186.0,68.0,2.0,12.0,7.0,1,19.66,88
83.0,205.0,62.0,2.0,3.0,3.0,2,14.75,97
83.0,172.0,75.0,2.0,9.0,0.0,3,25.35,84
83.0,173.0,73.0,2.0,17.0,9.0,4,24.39,70
83.0,166.0,107.0,1.0,12.0,10.0,2,38.83,59
83.0,174.0,82.0,1.0,7.0,6.0,5,27.08,63
83.0,201.0,61.0,0.0,6.0,8.0,3,15.1,72
83.0,175.0,98.0,2.0,21.0,7.0,2,32.0,70
83.0,202.0,61.0,2.0,2.0,3.0,2,14.95,96
83.0,167.0,78.0,1.0,18.0,8.0,2,27.97,65
83.0,201.0,96.0,1.0,2.0,7.0,3,23.76,78
83.0,178.0,68.0,2.0,0.0,5.0,2,21.46,96
83.0,202.0,71.0,1.0,8.0,4.0,3,17.4,76
83.0,159.0,75.0,1.0,0.0,8.0,4,29.67,67
83.0,181.0,80.0,1.0,16.0,7.0,4,24.42,66
83.0,186.0,95.0,2.0,6.0,9.0,2,27.46,84
83.0,169.0,93.0,1.0,21.0,8.0,2,32.56,57
83.0,192.0,69.0,2.0,0.0,5.0,2,18.72,98
83.0,171.0,80.0,2.0,7.0,9.0,2,27.36,84
83.0,164.0,86.0,1.0,15.0,9.0,3,31.98,56
83.0,198.0,79.0,3.0,14.0,7.0,2,20.15,93
83.0,170.0,68.0,2.0,20.0,1.0,3,23.53,76
83.0,176.0,78.0,2.0,9.0,9.0,1,25.18,83
83.0,187.0,67.0,1.0,20.0,3.0,3,19.16,68
83.0,182.0,105.0,3.0,4.0,8.0,3,31.7,89
83.0,181.0,67.0,2.0,13.0,1.0,3,20.45,86
83.0,181.0,110.0,1.0,16.0,5.0,2,33.58,68
83.0,187.0,71.0,2.0,11.0,3.0,2,20.3,87
83.0,190.0,85.0,3.0,22.0,9.0,2,23.55,78
83.0,193.0,104.0,1.0,19.0,6.0,3,27.92,64
83.0,187.0,67.0,2.0,0.0,6.0,3,19.16,91
83.0,188.0,63.0,2.0,22.0,0.0,2,17.82,80
83.0,195.0,64.0,3.0,0.0,1.0,3,16.83,107
83.0,182.0,62.0,2.0,18.0,6.0,2,18.72,80
83.0,167.0,78.0,3.0,13.0,7.0,2,27.97,91
83.0,194.0,94.0,2.0,0.0,6.0,2,24.98,89
83.0,175.0,75.0,1.0,19.0,6.0,4,24.49,61
83.0,183.0,68.0,2.0,18.0,1.0,3,20.31,78
83.0,202.0,92.0,1.0,14.0,2.0,2,22.55,79
83.0,183.0,71.0,2.0,3.0,9.0,2,21.2,85
83.0,201.0,74.0,2.0,17.0,4.0,4,18.32,75
83.0,168.0,99.0,2.0,14.0,9.0,1,35.08,74
83.0,188.0,62.0,2.0,20.0,4.0,1,17.54,83
83.0,204.0,79.0,1.0,4.0,8.0,2,18.98,82
83.0,196.0,74.0,1.0,0.0,3.0,3,19.26,85
83.0,183.0,71.0,2.0,13.0,8.0,4,21.2,75
83.0,186.0,97.0,2.0,15.0,7.0,1,28.04,82
83.0,180.0,66.0,1.0,8.0,8.0,3,20.37,68
