,genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan
0,84.0,180.0,90.0,2.0,9.0,1.0,2,86
1,84.0,204.0,79.0,3.0,2.0,7.0,3,100
2,84.0,174.0,74.0,3.0,20.0,3.0,2,87
3,84.0,187.0,78.0,2.0,6.0,5.0,3,91
4,84.0,187.0,89.0,2.0,12.0,0.0,2,83
5,84.0,175.0,74.0,2.0,2.0,3.0,3,89
6,84.0,196.0,68.0,2.0,14.0,8.0,1,80
7,84.0,182.0,83.0,1.0,1.0,8.0,3,77
8,84.0,176.0,91.0,1.0,17.0,1.0,2,73
9,84.0,180.0,74.0,1.0,5.0,9.0,2,73
10,84.0,191.0,73.0,1.0,18.0,7.0,4,67
11,84.0,204.0,74.0,2.0,15.0,10.0,2,81
12,84.0,168.0,75.0,2.0,12.0,3.0,3,78
13,84.0,198.0,63.0,3.0,21.0,5.0,2,90
14,84.0,199.0,78.0,1.0,14.0,7.0,3,66
15,84.0,194.0,78.0,1.0,0.0,1.0,2,84
16,84.0,182.0,89.0,3.0,6.0,8.0,1,92
17,84.0,159.0,74.0,2.0,9.0,7.0,3,73
18,84.0,176.0,101.0,1.0,12.0,10.0,2,67
19,84.0,171.0,82.0,1.0,21.0,9.0,4,55
20,84.0,188.0,79.0,2.0,18.0,7.0,3,76
21,84.0,185.0,87.0,2.0,13.0,3.0,1,85
22,84.0,161.0,66.0,1.0,7.0,9.0,3,73
23,84.0,169.0,72.0,1.0,11.0,8.0,2,72
24,84.0,184.0,80.0,1.0,21.0,9.0,2,60
25,84.0,195.0,61.0,0.0,5.0,8.0,2,75
26,84.0,187.0,75.0,2.0,1.0,9.0,2,95
27,84.0,208.0,95.0,1.0,17.0,1.0,2,76
28,84.0,184.0,85.0,3.0,21.0,6.0,1,85
29,84.0,178.0,77.0,3.0,17.0,9.0,3,81
30,84.0,183.0,101.0,2.0,21.0,9.0,2,70
31,84.0,186.0,74.0,2.0,2.0,4.0,2,97
32,84.0,173.0,83.0,1.0,8.0,8.0,2,71
33,84.0,180.0,87.0,1.0,22.0,6.0,2,64
34,84.0,198.0,74.0,2.0,15.0,5.0,3,78
35,84.0,183.0,68.0,2.0,18.0,0.0,2,90
36,84.0,196.0,69.0,1.0,13.0,7.0,2,76
37,84.0,181.0,96.0,1.0,12.0,8.0,2,70
38,84.0,194.0,65.0,3.0,19.0,9.0,3,85
39,84.0,184.0,74.0,1.0,14.0,9.0,3,63
40,84.0,167.0,89.0,2.0,18.0,7.0,3,72
41,84.0,183.0,81.0,1.0,17.0,7.0,2,74
42,84.0,170.0,89.0,3.0,2.0,4.0,2,101
43,84.0,186.0,99.0,2.0,9.0,7.0,1,88
44,84.0,190.0,85.0,1.0,19.0,7.0,1,69
45,84.0,178.0,79.0,2.0,20.0,9.0,3,70
46,84.0,190.0,64.0,2.0,17.0,4.0,1,84
47,84.0,179.0,80.0,2.0,4.0,3.0,2,90
48,84.0,197.0,67.0,1.0,5.0,7.0,5,78
49,84.0,186.0,111.0,2.0,0.0,1.0,2,92
50,84.0,169.0,101.0,2.0,8.0,8.0,2,73
51,84.0,179.0,90.0,1.0,7.0,7.0,3,66
52,84.0,170.0,106.0,2.0,1.0,5.0,1,88
53,84.0,181.0,62.0,1.0,4.0,8.0,4,74
