genetic,exercise,smoking,alcohol,sugar,bmi,lifespan
73.9,0.9,0.0,2.4,6.9,29.13,73.1
86.0,1.8,8.1,0.4,4.2,35.63,85.0
83.3,1.1,0.8,4.6,7.5,35.96,81.6
82.8,4.7,11.8,1.0,2.9,41.42,81.0
78.7,1.5,8.3,4.9,5.5,22.6,75.0
88.2,1.8,0.4,2.1,8.0,14.73,87.5
84.1,4.3,2.2,0.2,6.0,28.27,86.8
76.8,2.6,21.0,1.7,3.7,37.37,69.4
92.1,1.9,17.8,5.1,7.1,18.64,86.1
79.0,3.7,0.5,1.2,6.1,43.91,77.8
84.9,2.0,7.7,5.1,6.4,26.12,82.1
85.1,1.9,3.1,4.8,10.1,19.04,83.3
78.0,0.7,14.0,1.0,7.9,38.22,72.3
76.5,3.0,14.0,1.0,6.3,17.49,74.6
80.7,1.9,0.5,4.0,5.3,34.58,80.0
81.1,1.7,11.0,0.7,4.9,29.91,78.6
91.6,1.6,13.5,5.0,12.7,25.6,86.8
74.9,1.8,16.8,4.8,4.6,34.43,67.5
81.0,4.6,20.5,1.3,3.7,37.05,79.0
80.6,3.6,12.3,4.5,1.0,27.98,80.2
98.1,3.4,2.6,4.0,7.9,23.21,98.5
77.8,3.3,16.7,3.5,9.6,30.9,72.9
72.4,3.0,14.3,5.7,9.7,43.98,67.3
86.7,1.8,0.5,5.3,8.5,15.16,84.8
82.3,4.1,0.7,3.0,13.7,26.02,83.6
73.1,4.1,4.5,5.6,2.4,41.69,71.2
68.3,1.6,20.0,0.3,5.4,22.66,64.9
82.5,1.2,11.6,5.7,7.6,38.36,77.5
72.6,2.2,18.5,5.6,9.9,41.73,62.9
89.4,1.8,2.8,2.3,5.9,17.83,87.9
76.6,2.4,3.4,4.6,5.1,16.81,75.5
78.1,3.5,2.4,4.9,8.5,21.56,79.1
79.3,1.6,16.5,1.5,8.5,44.71,72.7
101.0,2.4,0.5,5.2,10.7,34.32,99.5
81.9,1.8,18.5,5.1,11.0,33.49,80.3
74.0,3.9,21.7,4.3,8.2,25.67,71.5
85.5,1.2,3.8,4.5,4.0,30.02,83.1
85.3,1.2,0.3,1.5,8.9,17.52,85.0
94.1,3.0,1.8,1.3,5.6,31.31,93.6
94.2,1.2,17.1,2.2,7.9,26.72,89.7
79.6,1.2,13.0,2.0,8.2,25.95,76.8
91.0,3.5,9.6,2.1,8.3,43.43,88.9
86.4,0.9,11.9,4.2,2.3,33.0,81.2
69.6,4.6,20.7,2.9,1.8,33.67,63.4
84.1,3.9,5.0,0.8,8.1,24.33,85.0
78.5,2.5,13.8,4.4,11.0,33.77,73.2
93.8,3.4,4.0,4.4,4.8,28.59,94.4
76.6,1.6,7.1,0.4,13.6,38.48,73.7
86.1,2.0,16.4,2.0,3.5,20.79,83.0
79.7,2.0,14.6,2.3,6.5,20.52,76.3
85.6,1.4,10.6,4.5,7.8,38.88,80.2
83.8,1.1,0.2,5.0,4.7,19.36,82.9
80.9,2.0,0.3,2.0,8.1,18.73,80.9
75.6,3.1,8.5,6.0,5.3,21.35,74.4
92.7,2.9,3.8,5.0,5.4,16.13,91.4
81.1,1.8,14.0,0.1,11.4,22.91,78.8
80.2,3.8,0.7,2.4,4.2,20.71,82.3
81.6,2.7,21.2,0.2,7.1,33.93,80.4
84.4,2.2,2.8,1.2,7.1,25.74,85.0
66.2,1.8,7.3,0.3,11.4,33.51,65.1
85.6,2.1,0.2,0.5,3.4,29.63,86.6
90.0,3.6,13.0,1.5,8.3,27.1,88.7
73.6,4.4,10.2,0.7,3.6,13.25,72.9
81.6,2.9,15.4,4.7,4.5,19.42,79.4
85.8,1.2,2.8,0.9,5.3,35.16,84.3
81.6,1.2,19.7,0.4,8.0,48.66,73.6
85.3,2.8,15.4,5.1,6.7,23.11,80.0
81.7,3.8,13.8,3.3,3.1,16.54,80.4
84.6,3.5,11.4,1.4,3.1,15.49,83.0
93.2,4.0,9.8,4.7,6.0,28.77,91.3
99.5,2.5,10.0,5.7,9.7,26.68,96.3
88.3,3.0,1.0,2.4,5.2,28.49,89.8
79.3,2.0,17.8,3.9,10.1,24.8,75.9
72.1,3.7,3.0,4.8,6.0,32.27,71.4
97.0,3.7,10.9,4.0,7.4,21.68,95.1
89.8,3.2,10.7,4.8,9.8,30.96,88.4
80.6,2.3,15.4,1.3,1.7,17.6,77.0
84.3,4.3,19.8,4.5,8.0,39.04,78.9
80.6,2.7,9.1,4.9,4.9,23.81,80.0
79.4,0.2,13.1,2.1,10.3,45.23,71.3
89.8,1.5,0.5,5.1,8.8,32.11,88.0
86.6,1.3,1.8,0.4,7.1,39.36,84.6
89.9,2.7,21.0,1.7,6.0,28.6,86.6
